,city_ID,City,Country,lat,lon,temp,wind,cloudiness,humidity
126,3985710,Cabo San Lucas,MX,22.89,-109.91,20.76,2.6,20,56
127,4173838,Spring Hill,US,28.48,-82.53,23.2,2.6,1,64
128,6100069,Peace River,CA,56.25,-117.29,-4.0,1.05,90,58
129,3869716,Tocopilla,CL,-22.09,-70.2,13.16,1.79,2,50
130,2630299,Hofn,IS,64.25,-15.21,3.77,16.73,100,84
131,2445704,Diffa,NE,13.32,12.61,20.43,3.36,67,13
132,1622318,Waingapu,ID,-9.66,120.26,29.24,1.96,0,66
133,3421765,Nanortalik,GL,60.14,-45.24,-7.7,15.71,0,60
134,1128239,Rūdbār,AF,30.15,62.6,19.22,0.35,0,47
135,2014836,Tupik,RU,54.43,119.93,-2.75,2.13,100,81
136,6541905,Nola,IT,40.92,14.53,8.59,1.5,0,75
137,1645528,Denpasar,ID,-8.65,115.22,30.0,4.1,20,84
138,2729907,Longyearbyen,SJ,78.22,15.64,-25.0,2.6,40,69
139,5961417,Gimli,CA,50.63,-96.99,-5.56,4.92,74,72
140,4975966,Presque Isle,US,46.68,-68.02,-7.3,2.1,20,57
141,2409914,Bonthe,SL,7.53,-12.51,27.06,3.27,46,83
142,3470137,Belmonte,BR,-15.86,-38.88,25.0,1.0,40,83
143,2638534,Sandwick,GB,60.0,-1.25,6.54,15.4,42,81
144,2236053,Abong Mbang,CM,3.98,13.18,20.35,1.06,78,95
145,2033467,Yanji,CN,42.91,129.51,0.47,1.96,96,84
146,3372707,Ribeira Grande,PT,38.52,-28.7,14.49,5.13,91,87
147,10722858,Forsytheganj,BY,52.63,29.73,0.67,4.39,100,97
148,3625929,Tucupita,VE,9.06,-62.05,22.22,1.66,96,94
149,5847411,Kahului,US,20.89,-156.47,24.11,3.6,75,61
150,3347353,Menongue,AO,-14.66,17.69,17.68,2.74,99,98
151,2139521,Noumea,NC,-22.28,166.46,28.16,5.1,90,65
152,1637001,Biak,ID,-0.91,122.88,28.25,3.89,0,74
153,5364271,Laguna,US,38.42,-121.42,6.92,1.5,90,81
154,292672,Sharjah city,AE,25.36,55.4,19.08,1.5,0,77
155,3466704,Castro,BR,-24.79,-50.01,17.62,1.18,99,97
156,1244926,Hambantota,LK,6.12,81.12,25.0,2.1,40,100
157,2122614,Okha,RU,53.57,142.95,-6.52,3.29,100,82
158,2123814,Leningradskiy,RU,69.38,178.42,-3.25,4.14,100,81
159,1819729,Hong Kong,HK,22.29,114.16,20.37,6.2,40,77
160,2126710,Beringovskiy,RU,63.05,179.32,-0.54,9.33,100,96
161,2641434,Northam,GB,51.03,-4.22,6.58,4.1,100,87
162,2512186,Puerto del Rosario,ES,28.5,-13.86,17.0,10.3,90,67
163,2017155,Saskylakh,RU,71.92,114.08,-33.09,6.55,10,91
164,1337610,Thinadhoo,MV,0.53,72.93,28.77,5.46,39,73
165,2030065,Mandalgovi,MN,45.76,106.27,7.6,4.97,87,23
166,4033077,Vaitape,PF,-16.52,-151.75,28.46,3.0,40,71
167,4726206,San Antonio,US,29.42,-98.49,21.27,3.6,90,78
168,3698359,Chicama,PE,-7.84,-79.15,23.0,4.1,90,83
169,934322,Mahébourg,MU,-20.41,57.7,23.31,4.1,75,94
170,114259,Sīrjān,IR,29.45,55.68,10.42,1.81,0,57
171,1649150,Bengkulu,ID,-3.8,102.27,31.89,0.54,20,54
172,110690,Abhā,SA,18.22,42.51,16.48,3.1,100,77
173,1857260,Mikuni,JP,36.22,136.15,11.0,8.7,75,55
174,2208248,Kaitangata,NZ,-46.28,169.85,10.46,3.74,100,61
175,2126682,Bilibino,RU,68.05,166.44,-7.82,2.18,89,85
176,3380290,Sinnamary,GF,5.38,-52.95,26.68,6.91,0,80
177,2070998,Geraldton,AU,-28.77,114.6,22.52,5.7,75,64
178,2352110,Okitipupa,NG,6.5,4.78,25.24,0.74,85,96
179,5859699,College,US,64.86,-147.8,-0.17,1.5,90,94
180,2084442,Vanimo,PG,-2.67,141.3,27.56,2.36,100,74
181,5955902,Fort Nelson,CA,58.81,-122.7,0.0,1.0,75,95
182,4278890,Salina,US,38.84,-97.61,5.73,3.1,90,87
183,5909514,Brooks,CA,50.58,-111.89,-7.78,3.25,0,81
184,1259412,Ponnampet,IN,12.15,75.93,25.0,0.5,20,94
185,3361934,Saldanha,ZA,-33.01,17.94,21.0,3.6,0,49
186,293842,Kiryat Gat,IL,31.61,34.76,13.55,2.1,75,82
187,3402648,Carutapera,BR,-1.2,-46.02,26.0,5.22,100,82
188,2427637,Mongo,TD,12.18,18.69,20.62,2.75,1,13
189,2276492,Harper,LR,4.38,-7.72,24.84,1.53,99,93
190,2101169,Aitape,PG,-3.14,142.35,26.6,1.09,98,79
191,1799552,Nanzhou,CN,29.36,112.4,17.0,4.46,93,63
192,1282256,Hithadhoo,MV,-0.6,73.08,28.86,5.13,61,71
193,876123,Lumeje,AO,-11.55,20.78,19.0,1.24,64,90
194,1630789,Pontianak,ID,-0.03,109.33,29.36,1.35,24,77
195,2142316,Yeppoon,AU,-23.13,150.73,28.0,5.1,20,48
196,3516171,Barra de Tecoanapa,MX,16.52,-98.75,23.73,0.24,4,87
